diaSemana,horaInici,horaFi,materia,professorId,grupId,aulaId
5,11:30,12:30,,AP,3rD,
2,11:30,12:30,,IM,4tA,
5,11:30,12:30,,LM,4tB,
2,11:30,12:30,,MV,4tC,
3,12:30,13:30,,CM,1A,
4,12:30,13:30,,LC (1r I 3r trim) R (2ntrim),1B,
5,12:30,13:30,,PF,1C,
1,12:30,13:30,,AN,2A,
3,12:30,13:30,,JM,2B,
4,12:30,13:30,,NM,2C,
1,12:30,13:30,,L,3A,
2,12:30,13:30,,MA,3B,
3,12:30,13:30,,A,3C,
4,12:30,13:30,,AP,3rD,
5,12:30,13:30,,LM,4tA,
1,12:30,13:30,,JC,4tB,
2,12:30,13:30,,IM,4tC,
3,13:30,14:30,,MCY,1A,
4,13:30,14:30,,CM,1B,
5,13:30,14:30,,S,1C,
3,13:30,14:30,,F,2A,
3,13:30,14:30,,LA,2B,
1,13:30,14:30,,LC,2C,
3,13:30,14:30,,PF,3A,
5,13:30,14:30,,R,3B,
2,13:30,14:30,,LM,3C,
5,13:30,14:30,,MS,3rD,
2,13:30,14:30,,DP,4tA,
3,13:30,14:30,,IZ,4tB,
5,13:30,14:30,,JC,4tC,
1,8:00,9:00,,MCY,1A,
2,8:00,9:00,,JT,1B,
4,8:00,9:00,,LA,1C,
1,8:00,9:00,,LC,2A,
2,8:00,9:00,,JM,2B,
3,8:00,9:00,,PF,2C,
4,8:00,9:00,,F,3A,
5,8:00,9:00,,MV,3B,
1,8:00,9:00,,CM,3C,
2,8:00,9:00,,AF,3rD,
3,8:00,9:00,,L,4tA,
4,8:00,9:00,,MÇ,4tB,
5,8:00,9:00,,AP,4tC,
3,9:00,10:00,,MA,1A,
3,9:00,10:00,,A,1B,
1,9:00,10:00,,S,1C,
3,9:00,10:00,,MS,2A,
5,9:00,10:00,,MCY,2B,
1,9:00,10:00,,PF,2C,
2,9:00,10:00,,IZ,3A,
3,9:00,10:00,,BR,3B,
5,9:00,10:00,,MV,3C,
3,9:00,10:00,,JC,3rD,
1,9:00,10:00,,LM,4tA,
2,9:00,10:00,,IM,4tB,
4,9:00,10:00,,F,4tC,
5,10:00,11:00,,MA,1A,
1,10:00,11:00,,A,1B,
2,10:00,11:00,,S,1C,
3,10:00,11:00,,PF,2A,
4,10:00,11:00,,LC,2B,
5,10:00,11:00,,F,2C,
1,10:00,11:00,,R,3A,
2,10:00,11:00,,LM,3B,
3,10:00,11:00,,MS,3C,
4,10:00,11:00,,LA,3rD,
5,10:00,11:00,,AF,4tA,
3,10:00,11:00,,AN,4tB,
3,10:00,11:00,,NM,4tC,
1,11:30,12:30,,IZ,1A,
2,11:30,12:30,,MCY,1B,
1,11:30,12:30,,R,1C,
3,11:30,12:30,,AN,2A,
1,11:30,12:30,,JM,2B,
2,11:30,12:30,,NM,2C,
3,11:30,12:30,,L,3A,
1,11:30,12:30,,MA,3B,
4,11:30,12:30,,A,3C,
1,11:30,12:30,,AP,3rD,
2,11:30,12:30,,IM,4tA,
3,11:30,12:30,,LM,4tB,
4,11:30,12:30,,MV,4tC,
5,12:30,13:30,,IZ,1A,
1,12:30,13:30,,LC (1r I 3r trim) R (2ntrim),1B,
2,12:30,13:30,,PF,1C,
